id,slug,name,numberOfDays,moods,description,isPublic,img
ef99edf9-6f8c-4d53-87d8-2565d838b0ad,CN-213316,Chaoyang Airport,30,"{""party"": 70, ""relax"": 40, ""nature"": 30, ""culture"": 80, ""history"": 20}","Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",true,http://dummyimage.com/207x100.png/5fa2dd/ffffff
2577ead5-007c-488a-8b88-24a16dd61ec3,CN-521621,Tongren Fenghuang Airport,23,"{""party"": 70, ""relax"": 40, ""nature"": 30, ""culture"": 80, ""history"": 20}","Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",true,http://dummyimage.com/150x100.png/ff4444/ffffff
eed1bc66-3b37-446b-b4e3-27515fc23fb1,DE-BY3954,Memmingen Allgau Airport,10,"{""party"": 70, ""relax"": 40, ""nature"": 30, ""culture"": 80, ""history"": 20}","In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.",true,http://dummyimage.com/157x100.png/dddddd/000000
774b73b3-abf8-4500-9509-356196ae01e6,CR-P5453,Puerto Jimenez Airport,17,"{""party"": 70, ""relax"": 40, ""nature"": 30, ""culture"": 80, ""history"": 20}","Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",true,http://dummyimage.com/226x100.png/dddddd/000000
e352c482-1d6d-4e5e-b592-7dafdcf09716,PG-WPD3412,Rumginae Airport,26,"{""party"": 70, ""relax"": 40, ""nature"": 30, ""culture"": 80, ""history"": 20}","Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",true,http://dummyimage.com/151x100.png/dddddd/000000
8bccb3e0-27b4-49bc-9be7-318122e58dfa,AZ-YE4841,Yevlakh Airport,27,"{""party"": 70, ""relax"": 40, ""nature"": 30, ""culture"": 80, ""history"": 20}","Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",true,http://dummyimage.com/173x100.png/5fa2dd/ffffff
af55a4bb-512b-447e-a9a9-3a4733687a74,CN-631977,Huatugou Airport,13,"{""party"": 70, ""relax"": 40, ""nature"": 30, ""culture"": 80, ""history"": 20}",Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,true,http://dummyimage.com/189x100.png/ff4444/ffffff
5aabae97-59e3-4da7-8233-63a73df4c959,US-GA7841,Daniel Field,19,"{""party"": 70, ""relax"": 40, ""nature"": 30, ""culture"": 80, ""history"": 20}","Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",true,http://dummyimage.com/236x100.png/cc0000/ffffff
8ca823e8-f535-45ad-8a06-480053b8b6a9,FR-C7406,Vichy-Charmeil Airport,10,"{""party"": 70, ""relax"": 40, ""nature"": 30, ""culture"": 80, ""history"": 20}","Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",true,http://dummyimage.com/129x100.png/ff4444/ffffff
f9b2fe07-0716-401d-83db-ba006ea020c2,BA-BIH6153,Sarajevo International Airport,23,"{""party"": 70, ""relax"": 40, ""nature"": 30, ""culture"": 80, ""history"": 20}","Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.

Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",true,http://dummyimage.com/239x100.png/ff4444/ffffff
88e880be-d5a2-4701-841e-2aa4d30acef8,US-TX2323,Sheppard Air Force Base-Wichita Falls Municipal Airport,17,"{""party"": 70, ""relax"": 40, ""nature"": 30, ""culture"": 80, ""history"": 20}","Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",true,http://dummyimage.com/101x100.png/ff4444/ffffff
88445590-7df5-446e-a2e9-a78d9bc78afb,US-NJ2560,Morristown Municipal Airport,19,"{""party"": 70, ""relax"": 40, ""nature"": 30, ""culture"": 80, ""history"": 20}","In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",true,http://dummyimage.com/209x100.png/cc0000/ffffff
87c63866-8bfe-49c9-b920-70119d67dfc6,CN-658337,Shanshan Airport,10,"{""party"": 70, ""relax"": 40, ""nature"": 30, ""culture"": 80, ""history"": 20}","Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",true,http://dummyimage.com/191x100.png/dddddd/000000
